city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
1,-0.17484808619077205,2,2,0,1,1.2521533040872037,120000.0
1,-0.5147656890207962,1,1,0,1,0.4983681302223703,40000.0
4,-0.464654985900891,1,1,0,2,-0.37138399346782186,12000.0
2,-0.0888247125016013,2,2,0,2,-0.5743261556622,8000.0
1,-0.42707195856096203,1,1,0,2,-0.3278963872833123,15000.0
0,-0.42289606663430324,1,1,0,2,-0.2989046498269725,16000.0
3,0.12832166768465494,3,3,2,2,0.0006766372218713223,60000.0
3,1.330978542562382,3,3,2,1,0.3840118324779192,200000.0
4,-0.3811371473677155,1,1,0,2,-0.4438633371086712,11000.0
4,-0.5105897970941374,1,1,0,2,0.00550859346459475,24000.0
0,0.7463536728301535,4,3,0,1,-0.1104583563607642,80000.0
0,0.36467715073354157,3,3,0,2,-0.12495422508893408,60000.0
1,-0.6066353114072893,1,2,0,0,1.976946740495697,70000.0
1,0.1458604137766218,3,3,0,1,2.5277897521661523,290000.0
1,0.9133893498965044,4,4,3,2,1.6145500222914504,350000.0
1,1.2474607040292065,4,5,0,1,0.6433268175040691,240000.0
4,-0.20407932967738346,2,2,2,1,-0.18293770000161355,30000.0
3,-0.02201044167506092,3,2,0,1,-0.356888124739652,25000.0
3,-0.3393782281011277,1,1,0,1,-0.4148715996523315,13000.0
0,0.662835834296978,3,3,3,1,-0.15394596254527382,70000.0
4,-0.0888247125016013,2,2,2,1,-0.18293770000161355,35000.0
4,-0.23999200024664893,3,2,2,2,-0.34239225601148215,20000.0
2,-0.5899317437006542,1,1,0,2,-0.3278963872833123,10000.0
4,1.1639428654960309,4,6,3,1,-0.15394596254527382,92000.0
0,0.07821096456474966,2,2,2,1,-0.4583592058368411,19000.0
2,-0.09717649635491886,2,2,2,1,-0.5308385494776905,11000.0
1,-0.5899317437006542,1,2,0,1,0.759293767329428,40000.0
4,-0.29761930883454,2,2,2,1,-0.18293770000161355,26500.0
0,-0.6734495822338297,2,2,0,1,0.5128639989505402,25000.0
0,-0.21410147030136453,1,1,0,1,-0.5308385494776905,9000.0
4,0.3287644801642761,3,3,0,2,-0.4003757309241616,30000.0
0,1.0386661076962678,4,3,0,0,-0.13945009381710394,90000.0
4,0.07821096456474966,2,2,0,2,-0.5453344182058603,12000.0
4,-0.5231174728741138,1,1,0,2,-0.47285507456501097,7000.0
0,0.03895758045415718,2,2,2,1,-0.2699129123706328,34000.0
3,-0.17234255103477678,2,2,2,1,-0.356888124739652,21000.0
1,-0.13058363176818905,2,2,0,1,0.29542596802799215,65000.0
2,1.5815320581619083,5,4,4,1,-0.5743261556622,25000.0
4,-0.1055282802082364,2,2,0,2,-0.2554170436424629,29000.0
2,-0.13058363176818905,3,2,3,1,-0.5598302869340301,9000.0
2,0.16172880309792514,3,3,3,0,-0.2989046498269725,35000.0
0,0.3287644801642761,2,2,0,1,-0.2989046498269725,40000.0
2,-0.0888247125016013,3,3,2,1,-0.3278963872833123,25000.0
0,0.061507396858114564,2,2,2,1,-0.22642530618612317,38000.0
0,1.5815320581619083,3,3,2,0,0.13597141201812357,170000.0
1,-0.13058363176818905,2,2,0,0,1.3681202539125625,140000.0
3,-0.3978407150743506,2,1,0,2,-0.5018468120213507,8000.0
4,1.736875237833615,5,5,0,1,-0.05247488144808473,140000.0
0,0.24524664163110063,3,3,0,2,-0.2699129123706328,40000.0
0,0.2619502093377357,2,2,2,1,-0.3278963872833123,35000.0
3,0.07821096456474966,3,2,0,0,-0.2699129123706328,35000.0
1,-0.010317944280416352,3,3,0,1,0.9332441920674666,120000.0
0,1.5815320581619083,4,5,2,0,0.28093009929982227,200000.0
1,0.3287644801642761,3,3,0,1,0.17945901820263319,90000.0
4,0.20348772236451287,3,3,3,2,-0.12495422508893408,52000.0
4,-0.25586038956795226,2,2,0,2,-0.2554170436424629,24000.0
1,-0.6609219064538534,1,1,0,0,1.3826161226407325,45000.0
0,0.7463536728301535,3,3,3,1,-0.5018468120213507,25000.0
4,-0.3978407150743506,1,1,0,2,-0.5163426807495206,7500.0
0,0.49580015723062704,3,3,2,1,-0.15394596254527382,63000.0
1,-0.5673819272966968,1,1,0,2,0.4693763927660306,34000.0
2,-0.3811371473677155,1,1,0,2,-0.5018468120213507,8500.0
0,2.0492319539476913,4,5,5,0,-0.15394596254527382,130000.0
3,0.1199698838313374,2,2,0,0,-0.28440878109880263,35000.0
0,0.07821096456474966,3,3,2,0,-0.13945009381710394,45000.0
4,-0.5481728244340665,1,1,10,0,0.1214755432899537,25000.0
0,0.438172848642736,3,2,2,1,-0.1684418312734437,58000.0
4,0.07821096456474966,2,2,0,2,-0.37138399346782186,27000.0
1,-0.3602576877344216,2,2,2,2,0.28093009929982227,45000.0
0,0.6169010231037315,3,3,3,1,-0.34239225601148215,45000.0
1,0.07821096456474966,3,3,0,2,0.8752607171547869,130000.0
1,-0.25586038956795226,2,2,0,2,0.6723185549604088,75000.0
3,0.9635000530164097,4,4,3,0,0.0779879371054441,120000.0
4,-0.2475086057146347,2,2,0,1,-0.47285507456501097,12000.0
3,-0.17234255103477678,3,2,2,1,-0.3681626893060064,20000.0
2,-0.005306873968425824,2,2,2,1,-0.4583592058368411,18000.0
1,-0.556524608287384,1,1,0,0,0.4693763927660306,35000.0
0,-0.17234255103477678,2,2,0,2,-0.4148715996523315,17000.0
2,0.036452045298161914,2,2,2,0,-0.4583592058368411,18000.0
0,0.07821096456474966,2,2,0,1,-0.4583592058368411,19000.0
2,0.49580015723062704,1,1,0,2,-0.6033178931185398,11000.0
0,-0.42289606663430324,2,1,0,1,-0.2119294374579533,20000.0
3,-0.464654985900891,2,1,0,1,-0.3278963872833123,13500.0
0,3.168370990292243,4,4,0,0,-0.2119294374579533,160000.0
4,-0.0888247125016013,3,3,0,2,-0.4003757309241616,20000.0
